Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
2150,49.0506,-122.4628,08MH,BC_103,NA,NA
2151,49.05097,-119.4892,08NM,BC_161,NA,NA
2152,49.051,-122.2117,08MH,BC_28,NA,NA
2153,49.0511,-122.5583,08MH,BC_103,NA,NA
2154,49.05121,-122.2904,08MH,BC_103,NA,NA
2155,49.05143,-122.3446,08MH,BC_103,NA,NA
2156,49.05169,-122.292,08MH,BC_103,NA,NA
2157,49.05195,-122.332,08MH,BC_103,NA,NA
2158,49.05209,-118.2159,08NN,BC_78,NA,NA
2159,49.05215,-123.8851,08HA,BC_36,NA,NA
2160,49.05277,-123.8813,08HA,BC_36,NA,NA
2161,49.05301,-123.8738,08HA,BC_36,NA,NA
2162,49.05307,-122.4636,08MH,BC_103,NA,NA
2163,49.05309,-123.8777,08HA,BC_36,NA,NA
2164,49.0531,-122.1951,08MH,BC_28,NA,NA
2165,49.05316,-122.1252,08MH,BC_28,NA,NA
2166,49.0532,-122.1953,08MH,BC_28,NA,NA
2167,49.05339,-122.669,08MH,BC_103,NA,NA
2168,49.0536,-125.5417,08HC,BC_29,NA,NA
2169,49.05376,-122.3483,08MH,BC_103,NA,NA
2170,49.0539,-119.5033,08NM,BC_161,NA,NA
2171,49.0544,-119.4845,08NM,BC_161,NA,NA
2172,49.05455,-120.7316,08NL,BC_184,NA,NA
2173,49.0547,-118.2183,08NN,BC_78,NA,NA
2174,49.055,-118.2253,08NN,BC_78,NA,NA
2175,49.0552,-120.7289,08NL,BC_184,NA,NA
2176,49.0556,-119.5006,08NM,BC_161,NA,NA
2177,49.0559,-118.5522,08NN,BC_78,NA,NA
2178,49.05599,-122.6699,08MH,BC_103,NA,NA
2179,49.0561,-123.8843,08HA,BC_36,NA,NA
2180,49.05611,-122.6481,08MH,BC_103,NA,NA
2181,49.05616,-122.1801,08MH,BC_28,NA,NA
2182,49.05618,-120.2075,08NL,BC_184,NA,NA
2183,49.0562,-118.9987,08NN,BC_78,NA,NA
2184,49.0563,-123.9674,08HA,BC_36,NA,NA
2185,49.0567,-122.8661,08MH,BC_103,NA,NA
2186,49.0567,-118.235,08NN,BC_78,NA,NA
2187,49.05685,-122.6702,08MH,BC_103,NA,NA
2188,49.0569,-120.2039,08NL,BC_184,NA,NA
2189,49.05695,-122.6688,08MH,BC_103,NA,NA
2190,49.05696,-122.1175,08MH,BC_28,NA,NA
2191,49.057,-122.1814,08MH,BC_28,NA,NA
2192,49.05705,-123.8805,08HA,BC_36,NA,NA
2193,49.05716,-120.7781,08NL,BC_184,NA,NA
2194,49.05717273,-98.46941241,05OB,NA,NA,NA
2195,49.0572,-120.1861,08NL,BC_184,NA,NA
2196,49.0575,-119.5103,08NM,BC_161,NA,NA
2197,49.05752455,-98.46965504,05OB,NA,NA,NA
2198,49.05752468,-98.46965504,05OB,NA,NA,NA
2199,49.05787,-98.4698,05OB,NA,NA,NA
2200,49.05789,-121.9645,08MH,BC_28,NA,NA
2201,49.0579,-98.4698,05OB,NA,NA,NA
2202,49.05806,-122.5825,08MH,BC_103,NA,NA
2203,49.05836,-99.86647,05OA,NA,NA,NA
2204,49.05837,-123.8096,08HA,BC_36,NA,NA
2205,49.0586,-119.5092,08NM,BC_161,NA,NA
2206,49.0586,-118.6933,08NN,BC_78,NA,NA
2207,49.05873,-119.5003,08NM,BC_161,NA,NA
2208,49.0591,-118.2219,08NN,BC_78,NA,NA
2209,49.05934,-122.7057,08MH,BC_103,NA,NA
2210,49.05952,-97.09978,05OD,NA,NA,NA
2211,49.05962,-122.7068,08MH,BC_103,NA,NA
2212,49.05962,-122.6958,08MH,BC_103,NA,NA
2213,49.05974,-123.8789,08HA,BC_36,NA,NA
2214,49.05995,-122.4723,08MH,BC_103,48.10947349445253,Marginal
2215,49.05996,-122.6523,08MH,BC_103,NA,NA
2216,49.06,-118.9992,08NN,BC_78,NA,NA
2217,49.06036,-123.8788,08HA,BC_36,NA,NA
2218,49.06047,-118.2074,08NN,BC_78,NA,NA
2219,49.06048,-97.68412,05OC,NA,NA,NA
2220,49.06052,-122.2485,08MH,BC_103,76.89296233834332,Fair
2221,49.06053,-122.6505,08MH,BC_103,NA,NA
2222,49.06068,-123.8788,08HA,BC_36,NA,NA
2223,49.0608,-121.9814,08MH,BC_28,NA,NA
2224,49.06097,-122.4715,08MH,BC_103,NA,NA
2225,49.0611,-119.5058,08NM,BC_161,NA,NA
2226,49.0614,-117.3314,08NE,BC_96,86.0293105595831,Good
2227,49.0617,-121.9806,08MH,BC_28,NA,NA
2228,49.06174,-122.235,08MH,BC_103,NA,NA
2229,49.06186,-123.8784,08HA,BC_36,NA,NA
2230,49.06189,-99.61653,05OA,NA,NA,NA
2231,49.06245,-97.32473,05OC,NA,NA,NA
2232,49.06247,-99.59261,05OA,NA,NA,NA
2233,49.06252,-122.5592,08MH,BC_103,NA,NA
2234,49.06272,-120.3328,08NL,BC_184,NA,NA
2235,49.0628,-114.8622,08NK,BC_46,NA,NA
2236,49.0629,-117.3306,08NE,BC_96,100,Excellent
2237,49.0633,-122.1711,08MH,BC_28,49.595698997691215,Marginal
2238,49.0636,-121.9664,08MH,BC_28,NA,NA
2239,49.06371,-98.87382,05OB,NA,NA,NA
2240,49.06385,-122.4832,08MH,BC_103,NA,NA
2241,49.064,-125.3645,08HB,BC_2,NA,NA
2242,49.06411,-119.5126,08NM,BC_161,NA,NA
2243,49.0642,-117.3257,08NE,BC_96,NA,NA
2244,49.06455,-120.2018,08NL,BC_184,80.32485123746773,Good
2245,49.06455,-120.1967,08NL,BC_184,NA,NA
2246,49.065,-117.331,08NE,BC_96,81.78071070491949,Good
2247,49.06524,-122.6862,08MH,BC_103,NA,NA
2248,49.06537,-122.5472,08MH,BC_103,68.86931242117083,Fair
2249,49.06537,-117.7227,08NE,BC_96,NA,NA
2250,49.0656,-114.8614,08NK,BC_46,NA,NA
2251,49.06571,-122.676,08MH,BC_103,NA,NA
2252,49.0659,-122.2529,08MH,BC_103,NA,NA
2253,49.06596,-122.6748,08MH,BC_103,NA,NA
2254,49.06608,-115.2074,08NG,BC_19,NA,NA
2255,49.0661,-123.875,08HA,BC_36,NA,NA
2256,49.06615,-122.5376,08MH,BC_103,NA,NA
2257,49.0663,-117.6159,08NE,BC_96,NA,NA
2258,49.0664,-118.5486,08NN,BC_78,NA,NA
2259,49.06668,-119.5182,08NM,BC_161,NA,NA
2260,49.06717,-122.68,08MH,BC_103,NA,NA
2261,49.06735,-122.6649,08MH,BC_103,NA,NA
